category_name,month,count
Assault,2019-01-01,4483
Assault,2019-02-01,4431
Assault,2019-03-01,5168
Assault,2019-04-01,5220
Assault,2019-05-01,5596
Assault,2019-06-01,5209
Assault,2019-07-01,5368
Assault,2019-08-01,5349
Assault,2019-09-01,5255
Assault,2019-10-01,5347
Assault,2019-11-01,4844
Assault,2019-12-01,5199
Assault,2020-01-01,5035
Assault,2020-02-01,4801
Assault,2020-03-01,5603
Assault,2020-04-01,5514
Assault,2020-05-01,6433
Assault,2020-06-01,5851
Assault,2020-07-01,5735
Assault,2020-08-01,6226
Assault,2020-09-01,5851
Assault,2020-10-01,6216
Assault,2020-11-01,5741
Assault,2020-12-01,5632
Assault,2021-01-01,5590
Assault,2021-02-01,4797
Assault,2021-03-01,5476
Assault,2021-04-01,5702
Assault,2021-05-01,6241
Assault,2021-06-01,5900
Assault,2021-07-01,5868
Assault,2021-08-01,5835
Assault,2021-09-01,5762
Assault,2021-10-01,5742
Assault,2021-11-01,4967
Assault,2021-12-01,5425
Assault,2022-01-01,5200
Assault,2022-02-01,4585
