category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Arson,497,532,462,180,469,1491,497,-7,-5.6,1.5,-6,21.6,23.1,20,20.4,21.6
Assault,61469,68638,67305,20878,66618,197412,65804,9.5,8.4,-1,1,2667.3,2978.3,2920.5,2890.7,2855.4
Auto Theft,13645,15162,15976,5249,16212,44783,14927.7,17.1,18.8,1.5,9,592.1,657.9,693.2,703.5,647.7
Burglary,16901,15373,13910,4322,13679,46184,15394.7,-17.7,-19.1,-1.7,-11,733.4,667.1,603.6,593.6,668
Drug Offenses,10222,8964,9356,3229,9300,28542,9514,-8.5,-9,-0.6,-2,443.6,389,406,403.5,412.8
Kidnapping,231,265,227,106,254,723,241,-1.7,10,11.9,5,10,11.5,9.8,11,10.5
Murder,289,414,469,148,473,1172,390.7,62.3,63.7,0.9,21,12.5,18,20.4,20.5,17
Other,39617,68197,71294,18353,66304,179108,59702.7,80,67.4,-7,11,1719.1,2959.2,3093.6,2877.1,2590.6
Robbery,9200,8816,7802,2334,7498,25818,8606,-15.2,-18.5,-3.9,-13,399.2,382.5,338.5,325.4,373.4
Sexual Assault,1843,1713,1715,432,1542,5271,1757,-6.9,-16.3,-10.1,-12,80,74.3,74.4,66.9,76.2
Theft,73177,68759,67089,24414,70260,209025,69675,-8.3,-4,4.7,1,3175.3,2983.6,2911.1,3048.7,3023.3
