hour,count,time,timeframe
0,100,12 a.m.,Overnight
1,77,1 a.m.,Overnight
2,78,2 a.m.,Overnight
3,51,3 a.m.,Overnight
4,36,4 a.m.,Overnight
5,26,5 a.m.,Morning
6,41,6 a.m.,Morning
7,35,7 a.m.,Morning
8,36,8 a.m.,Morning
9,46,9 a.m.,Morning
10,30,10 a.m.,Morning
11,40,11 a.m.,Morning
12,55,12 p.m.,Morning
13,48,1 p.m.,Afternoon/Evening
14,56,2 p.m.,Afternoon/Evening
15,49,3 p.m.,Afternoon/Evening
16,53,4 p.m.,Afternoon/Evening
17,49,5 p.m.,Afternoon/Evening
18,65,6 p.m.,Afternoon/Evening
19,81,7 p.m.,Afternoon/Evening
20,76,8 p.m.,Afternoon/Evening
21,103,9 p.m.,Overnight
22,89,10 p.m.,Overnight
23,91,11 p.m.,Overnight
