mall,category_name,total
Baybrook Mall,Assault,82
Baybrook Mall,Auto Theft,211
Baybrook Mall,Burglary,14
Baybrook Mall,Drug Offenses,15
Baybrook Mall,Other,205
Baybrook Mall,Robbery,21
Baybrook Mall,Sexual Assault,1
Baybrook Mall,Theft,1026
Greenspoint Mall,Assault,69
Greenspoint Mall,Auto Theft,18
Greenspoint Mall,Burglary,7
Greenspoint Mall,Drug Offenses,25
Greenspoint Mall,Other,202
Greenspoint Mall,Robbery,15
Greenspoint Mall,Theft,114
Highland Village,Assault,19
Highland Village,Auto Theft,4
Highland Village,Burglary,1
Highland Village,Drug Offenses,2
Highland Village,Other,49
Highland Village,Robbery,3
Highland Village,Theft,123
Memorial City Mall,Assault,72
Memorial City Mall,Auto Theft,63
Memorial City Mall,Burglary,5
Memorial City Mall,Drug Offenses,42
Memorial City Mall,Other,192
Memorial City Mall,Robbery,22
Memorial City Mall,Sexual Assault,1
Memorial City Mall,Theft,923
Meyerland Plaza,Assault,40
Meyerland Plaza,Auto Theft,12
Meyerland Plaza,Burglary,14
Meyerland Plaza,Drug Offenses,5
Meyerland Plaza,Other,115
Meyerland Plaza,Robbery,17
Meyerland Plaza,Sexual Assault,2
Meyerland Plaza,Theft,581
Rice Village,Assault,7
Rice Village,Auto Theft,1
Rice Village,Burglary,1
Rice Village,Other,16
Rice Village,Robbery,3
Rice Village,Theft,107
The Galleria,Assault,285
The Galleria,Auto Theft,85
The Galleria,Burglary,31
The Galleria,Drug Offenses,63
The Galleria,Other,586
The Galleria,Robbery,54
The Galleria,Theft,2605
Willowbrook Mall,Assault,96
Willowbrook Mall,Auto Theft,81
Willowbrook Mall,Burglary,7
Willowbrook Mall,Drug Offenses,14
Willowbrook Mall,Kidnapping,1
Willowbrook Mall,Other,168
Willowbrook Mall,Robbery,37
Willowbrook Mall,Sexual Assault,3
Willowbrook Mall,Theft,782
